#Time (s)	A Incoming Load (payload, Mbps)	A Processed Load (payload, Mbps)	A Latency (us)		 B Incoming Load (payload, Mbps)	B Processed Load (payload, Mbps)	B Latency (us)
59.8	2220.104533	2220.709434	87.6		2228.60169	2228.93283	76.96
59.9	2222.186667	2222.466415	86.77		2229.268732	2229.089811	76.9
60	2221.0816	2222.001509	87.24		2451.411831	2326.092075	132.39
60.1	2820.1728	2409.913962	158.06		0	0	0
60.2	4437.341867	2876.021132	439.21		0	0	0
60.3	4438.545067	2879.686038	437.28		1068.470986	0	0
60.4	4437.832533	2878.176604	438.29		4444.155493	0	0
60.5	4435.912533	3479.420377	348.56		4433.514366	2662.973585	1440.48
60.6	4434.167467	4435.206038	87.37		4434.546479	4435.030943	77.37
60.7	4434.730667	4435.948679	85.08		4428.588169	4431.891321	77.77
60.8	4434.734933	4435.483774	85.66		4435.348732	4360.990189	143.75
